id	qid1	qid2	question1	question2	is_duplicate
36	71	72	What does the doctor recommend?	What does the doctor think you ought to do?	1
37	73	74	Shall we invite Francis and Bob over for dinner this evening?	Why don’t we invite Francis and Bob over for dinner this evening?	1
38	75	76	We all need to let our families know we are safe.	Each one of us needs to let our family know we are safe.	1
39	77	78	If you walk faster, you will get there sooner.	The faster you walk, the sooner you get there.	1
40	79	80	That’s the stupidest thing I’ve ever heard.	I’ve never heard anything so stupid.	1
41	81	82	The thief said he did not shoot the guard dog.	The thief denied having shot the guard dog.	1
42	83	84	I have never heard such a ridiculous proposal.	Never have I heard such a ridiculous proposal.	1
43	85	86	Neither Albania nor Turkey is part of the European Union.	Albania is not part of the European Union, nor is Turkey.	1
44	87	88	I really need to do more exercise.	What I really need to do is more exercise.	1
45	89	90	The orcs are coming to attack us because you're making too much noise.	If you didn't make so much noise, the orcs wouldn't come to attack us.	1
46	91	92	We can't walk across the hall because the dragon is awake.	If the dragon was sleeping, we would be able to walk across the hall.	1
47	93	94	I lied to you about the treasure because you're too greedy!	I wouldn't have lied to you about the treasure if you weren't so greedy.	1
48	95	96	We are going to die here because you attacked that sleeping dragon.	We wouldn't have to die here if you didn't attack the sleeping dragon?	1
49	97	98	This mission is going to be difficult because that castle has magical protection.	This would be easier if the castle didn't have magical protection.	1
50	99	100	I have him in the group because he's an excellent swordsman.	If he wasn't an excellent swordsman, we wouldn't have him in the group.	1
51	101	102	I'm asking for the help of the dark wizard because I'm desperate.	I wouldn't ask the dark wizard for help if I wasn't desperate.	1
52	103	104	I just won't leave you here because I don't know how to operate the magical portal.	If I knew how to operate the magical portal, I would leave you here.	1
53	105	106	To some extent I agree that advertising has an impact on sales.	I agree that advertising affects sales to some extent.	1
54	107	108	We do need most of the goods that we buy.	Most of the goods that we buy are needed.	1
55	109	110	The man loves to drink wine.	The guy is fond of drinking wine.	1
56	111	112	As the campaign mounts, there have already been accusations of vote-rigging.	As the campaign mounts, allegations of voting-rigging have already been made.	1
57	113	114	Although Putin is undoubtedly an important and influential figure, his domestic reach has its limits.	While Putin is certainly a significant and influential figure, his internal reach has its boundaries.	1
58	115	116	Power in Russia is tightly centralized, and governors are usually members of Putin’s United Russia party.	Power is highly centralized in Russia, and governors are mainly members of the United Russia party of Putin.	1
59	117	118	Rather, regional governors and their administrations are often responsible for distributing state budgets and implementing Moscow instructions.	Instead, it often falls to regional governors and their administrations to distribute state budgets and implement orders from Moscow.	1
60	119	120	These figures were appointed based on their personal loyalty to the Kremlin.	Based on their private allegiance to the Kremlin, these figures were assigned.	1
61	121	122	Examining some of these governors in more detail shows where Russia’s foreign and domestic policy strategy may be headed.	Examining some of these governors in greater detail reveals where the foreign and domestic policy plan of Russia will be headed.	1
